"","NUHI*","deCODE Genetics"
"27.02","",""
"28.02","1",""
"29.02","0",""
"01.03","3",""
"02.03","6",""
"03.03","5",""
"04.03","14",""
"05.03","8",""
"06.03","10",""
"07.03","7",""
"08.03","5",""
"09.03","9",""
"10.03","14",""
"11.03","24",""
"12.03","16",""
"13.03","20",""
"14.03","24",""
"15.03","11","9"
"16.03","15","10"
"17.03","48","5"
"18.03","70","8"
"19.03","61","16"
"20.03","59","1"
"21.03","89","2"
"22.03","22",""
"23.03","67",""
"24.03","104","2"
"25.03","40","2"
"26.03","81","6"
"27.03","67","3"
"28.03","54","2"
"29.03","61","5"
"30.03","49","2"
"31.03","72","11"
"01.04","93","6"
"02.04","40","5"
"03.04","34","20"
"04.04","60","10"
"05.04","59","15"
"06.04","23","1"
"07.04","29","1"
"08.04","30","2"
"09.04","26","1"
"10.04","11","3"
"11.04","10","2"
"12.04","10",""
"13.04","9",""
"14.04","3","4"
"15.04","11","1"
"16.04","13","2"
"17.04","4","2"
"18.04","5","6"
"19.04","1","1"
"20.04","4","1"
"21.04","4","3"
