date,cases,deaths
2020-02-26,0,2
2020-02-27,0,2
2020-02-28,9,4
2020-02-29,11,5
2020-03-01,19,8
2020-03-02,27,10
2020-03-03,38,13
2020-03-04,52,15
2020-03-05,60,19
2020-03-06,73,25
2020-03-07,92,25
2020-03-08,155,30
2020-03-09,198,33
2020-03-10,234,33
2020-03-11,295,37
2020-03-12,349,41
2020-03-13,405,44
2020-03-14,488,48
2020-03-15,551,52
2020-03-16,618,58
2020-03-17,702,65
2020-03-18,801,69
2020-03-19,893,74
2020-03-20,1025,81
2020-03-21,1170,85
2020-03-22,1265,99
2020-03-23,1393,108
2020-03-24,1536,117
2020-03-25,1727,126
2020-03-26,1930,141
2020-03-27,2134,150
2020-03-28,2340,164
2020-03-29,2517,172
2020-03-30,2687,176
2020-03-31,2849,181
2020-04-01,3063,193
2020-04-02,3249,204
2020-04-03,3435,217
2020-04-04,3613,231
2020-04-05,3761,246
2020-04-06,3883,259
2020-04-07,3995,274
2020-04-08,4166,284
2020-04-09,4330,291
2020-04-10,4478,303
2020-04-11,4586,314
2020-04-12,4689,319
2020-04-13,4773,327
2020-04-14,4865,332
2020-04-15,4989,337
2020-04-16,5152,349
2020-04-17,5265,356
2020-04-18,5377,367
2020-04-19,5458,379
2020-04-20,5539,385
2020-04-21,5628,397
2020-04-22,5733,402
2020-04-23,5819,407
2020-04-24,5905,415
2020-04-25,5993,425
2020-04-26,6084,433
2020-04-27,6138,440
2020-04-28,6229,445
2020-04-29,6316,451
2020-04-30,6397,455
2020-05-01,6479,461
2020-05-02,6554,465
2020-05-03,6644,469
2020-05-04,6700,475
2020-05-05,6774,480
2020-05-06,6878,485
2020-05-07,6946,490
2020-05-08,7006,496
2020-05-09,7066,499
